NAME,PRICE,CUISINE_CATEGORY,CITY,REGION,URL,PAGE NO,OUTLET_TYPE,TIMING,REVIEWS,RATING,VOTES
Trupti,400.0,"South Indian,Street Food,Fast Food,North Indian,Chinese",Mumbai,Sanpada,https://www.zomato.com/mumbai/trupti-sanpada-navi-mumbai/info,553,Casual Dining,10am to 10pm(Mon-Sun),Average,3.2,11.0
Naivedyam,250.0,South Indian,Mumbai,Thane,https://www.zomato.com/mumbai/naivedyam-owale-thane-west-thane/info,553,Casual Dining,7am to 11pm(Mon-Sun),Average,3.2,15.0
Mahaveer Bhelpuri & Ice-cream Parlour,250.0,"Street Food,Desserts",Mumbai,Kalyan,https://www.zomato.com/mumbai/mahaveer-bhelpuri-ice-cream-parlour-kalyan-thane/info,553,Quick Bites,11am to 10pm(Mon-Sun),Good,3.6,53.0
Coconut Curry,650.0,"South Indian,North Indian,Mangalorean,Chinese",Mumbai,CBD Belapur,https://www.zomato.com/mumbai/coconut-curry-cbd-belapur-navi-mumbai/info,553,Casual Dining,10am to 1130pm(Mon-Sun),Good,3.5,127.0
Café Palms,350.0,"Fast Food,Cafe,Pizza",Mumbai,Bhandup,https://www.zomato.com/mumbai/café-palms-bhandup/info,553,Café,"10am to 330pm,630pm to 12midnight(Mon-Sun)",Good,3.5,119.0
Wok - In,700.0,"Chinese,Thai",Mumbai,Wadala,https://www.zomato.com/mumbai/wok-in-wadala/info,553,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.8,208.0
Mansarovar Sweets,300.0,"Mithai,Street Food",Mumbai,Vasai,https://www.zomato.com/mumbai/mansarovar-sweets-vasai/info,553,Sweet Shop,630am to 1030pm(Mon-Sun),Average,3.4,43.0
Coffee House,350.0,Cafe,Mumbai,Fort,https://www.zomato.com/mumbai/coffee-house-3-fort/info,553,Café,"8am to 830pm(Mon,Wed,Thu,Fri,Sat),8am to ...",Good,3.8,95.0
Malti's Delicacies,300.0,"Bakery,Desserts",Mumbai,Malad,https://www.zomato.com/mumbai/maltis-delicacies-malad-east/info,553,Bakery,11am to 11pm(Mon-Sun),Good,3.6,27.0
Food Paradise,500.0,"North Indian,Chinese",Mumbai,CBD Belapur,https://www.zomato.com/mumbai/food-paradise-cbd-belapur-navi-mumbai/info,553,Casual Dining,730am to 1130pm(Mon-Sun),Average,3.3,15.0
